Oyuncu İsmi,Doğum Tarihi/Yaş,Uyruk,Piyasa Değeri
Okan Kocuk,27 Tem 1995 (29),Türkiye,1.70 mil. €  
Halil Yeral,1 Oca 2000 (25),Türkiye,75 bin €  
Taha Tosun,28 Nis 2005 (19),Türkiye,50 bin €  
Muammer Yıldırım,14 Eyl 1990 (34),Türkiye,25 bin €  
Efe Berat Törüz,8 Eyl 2006 (18),Türkiye,-
Rick van Drongelen,20 Ara 1998 (26),Hollanda,2.00 mil. €  
Lubomir Satka,2 Ara 1995 (29),Slovakya,1.30 mil. €  
Yunus Emre Çift,1 Eyl 2003 (21),Türkiye,350 bin €  
Bedirhan Çetin,29 Haz 2006 (18),Türkiye,150 bin €  
Elano Yegen,8 Eki 2002 (22),Türkiye,50 bin €  
Marc Bola,9 Ara 1997 (27),İngiltere,1.20 mil. €  
Soner Gönül,11 Haz 1997 (27),Türkiye,550 bin €  
Enes Albak,16 May 2005 (19),Türkiye,125 bin €  
Nanu,17 May 1994 (30),Gine-Bissau,400 bin €  
Zeki Yavru  ,5 Eyl 1991 (33),Türkiye,350 bin €  
Mustafa Tan,27 Nis 2005 (19),Türkiye,350 bin €  
Youssef Aït Bennasser ,7 Tem 1996 (28),Fas,1.00 mil. €  
Flavien Tait,2 Şub 1993 (31),Fransa,900 bin €  
Celil Yüksel,1 Oca 1998 (27),Türkiye,700 bin €  
Muhammet Ali Özbaskıcı,27 Eyl 2005 (19),Türkiye,300 bin €  
Soner Aydoğdu,5 Oca 1991 (34),Türkiye,125 bin €  
Alper Efe Pazar,8 Şub 2005 (19),Türkiye,-
Carlo Holse,2 Haz 1999 (25),Danimarka,3.40 mil. €  
Olivier Ntcham,9 Şub 1996 (28),Kamerun,3.00 mil. €  
Emre Kılınç,23 Ağu 1994 (30),Türkiye,1.70 mil. €  
Arbnor Muja,29 Kas 1998 (26),Arnavutluk,3.70 mil. €  
Kingsley Schindler,12 Tem 1993 (31),Gana,850 bin €  
Marius Mouandilmadji,22 Oca 1998 (26),Cad,2.90 mil. €  
Landry Dimata,1 Eyl 1997 (27),Belçika,2.20 mil. €  
Ercan Kara,3 Oca 1996 (29),Avusturya,1.20 mil. €  
Gaëtan Laura,6 Ağu 1995 (29),Kongo DC,450 bin €  
Berhan Deniz,25 Kas 2004 (20),Türkiye,75 bin €  
Ali Kılıç,11 Mar 2004 (20),Türkiye,50 bin €
