Oyuncu İsmi,Doğum Tarihi/Yaş,Uyruk,Piyasa Değeri
Dominik Livakovic,9 Oca 1995 (30),Hırvatistan,11.00 mil. €  
İrfan Can Eğribayat,30 Haz 1998 (26),Türkiye,1.00 mil. €  
Ertuğrul Çetin,21 Nis 2003 (21),Türkiye,450 bin €  
Çağlar Söyüncü,23 May 1996 (28),Türkiye,8.50 mil. €  
Alexander Djiku,9 Ağu 1994 (30),Gana,8.50 mil. €  
Rodrigo Becão ,19 Oca 1996 (28),Brezilya,8.00 mil. €  
Samet Akaydin,13 Mar 1994 (30),Türkiye,2.00 mil. €  
Emir Ortakaya ,22 Haz 2004 (20),Türkiye,900 bin €
Serdar Aziz ,23 Eki 1990 (34),Türkiye,200 bin €  
Yusuf Akçiçek,25 Oca 2006 (18),Türkiye,150 bin €
Jayden Oosterwolde ,26 Nis 2001 (23),Hollanda,15.00 mil. €  
Filip Kostić ,1 Kas 1992 (32),Sırbistan,6.00 mil. €  
Levent Mercan ,10 Ara 2000 (24),Türkiye,2.30 mil. €  
Bright Osayi-Samuel,31 Ara 1997 (27),Nijerya,8.00 mil. €  
Mert Müldür ,3 Nis 1999 (25),Türkiye,6.50 mil. €  
Sofyan Amrabat ,21 Ağu 1996 (28),Fas,22.00 mil. €  
İsmail Yüksek ,26 Oca 1999 (25),Türkiye,14.00 mil. €  
Bartuğ Elmaz ,19 Şub 2003 (21),Türkiye,1.50 mil. €  
Fred,5 Mar 1993 (31),Brezilya,13.00 mil. €  
Sebastian Szymański,10 May 1999 (25),Polonya,17.00 mil. €  
Lincoln ,7 Kas 1998 (26),Brezilya,4.00 mil. €
Mert Hakan Yandaş,19 Ağu 1994 (30),Türkiye,1.10 mil. €  
Allan Saint-Maximin,12 Mar 1997 (27),Fransa,17.00 mil. €  
Oğuz Aydın ,27 Eki 2000 (24),Türkiye,6.00 mil. €  
İrfan Can Kahveci,15 Tem 1995 (29),Türkiye,9.50 mil. €  
Cengiz Ünder,14 Tem 1997 (27),Türkiye,7.50 mil. €  
Dusan Tadic,20 Kas 1988 (36),Sırbistan,3.00 mil. €  
Burak Kapacak ,8 Ara 1999 (25),Türkiye,200 bin €  
Youssef En-Nesyri,1 Haz 1997 (27),Fas,22.00 mil. €  
Edin Dzeko ,17 Mar 1986 (38),Bosna-Hersek,2.20 mil. €  
Cenk Tosun,7 Haz 1991 (33),Türkiye,1.40 mil. €  
